Skills hard to obtain  from applicants ,sector,Number ,Precentage
Specialist knowledge for role / Role Expertise,Primary Sector & Utilities,2358,74
Specialist knowledge for role / Role Expertise,Manufacturing,5499,74
Specialist knowledge for role / Role Expertise,Construction,5829,77
Specialist knowledge for role / Role Expertise,Wholesale & Retail,9665,61
Specialist knowledge for role / Role Expertise,Hotels & Restaurants,7770,63
Specialist knowledge for role / Role Expertise,Transport & Storage,2260,65
Specialist knowledge for role / Role Expertise,Information & Communications,3200,74
Specialist knowledge for role / Role Expertise,Financial Services,1313,77
Specialist knowledge for role / Role Expertise,Business Services,15745,72
Specialist knowledge for role / Role Expertise,Public admin.,768,69
Specialist knowledge for role / Role Expertise,Education,2750,68
Specialist knowledge for role / Role Expertise,Health & Social Work,6865,65
Specialist knowledge for role / Role Expertise,Arts & Other Services,4102,64
Solving complex problems,Primary Sector & Utilities,1267,40
Solving complex problems,Manufacturing,3929,53
Solving complex problems,Construction,3972,52
Solving complex problems,Wholesale & Retail,7193,46
Solving complex problems,Hotels & Restaurants,4668,38
Solving complex problems,Transport & Storage,1501,43
Solving complex problems,Information & Communications,2501,58
Solving complex problems,Financial Services,654,38
Solving complex problems,Business Services,10377,47
Solving complex problems,Public admin.,617,55
Solving complex problems,Education,1252,31
Solving complex problems,Health & Social Work,4174,39
Solving complex problems,Arts & Other Services,2048,32
Product knowledge expertise ,Primary Sector & Utilities,1136,36
Product knowledge expertise ,Manufacturing,3613,48
Product knowledge expertise ,Construction,3675,48
Product knowledge expertise ,Wholesale & Retail,7473,48
Product knowledge expertise ,Hotels & Restaurants,5810,47
Product knowledge expertise ,Transport & Storage,1165,33
Product knowledge expertise ,Information & Communications,2150,50
Product knowledge expertise ,Financial Services,1049,61
Product knowledge expertise ,Business Services,9508,43
Product knowledge expertise ,Public admin.,378,34
Product knowledge expertise ,Education,1295,32
Product knowledge expertise ,Health & Social Work,3838,36
Product knowledge expertise ,Arts & Other Services,2719,43
Organizational knowledge,Primary Sector & Utilities,1106,35
Organizational knowledge,Manufacturing,2118,28
Organizational knowledge,Construction,2502,33
Organizational knowledge,Wholesale & Retail,5684,36
Organizational knowledge,Hotels & Restaurants,5148,42
Organizational knowledge,Transport & Storage,1197,34
Organizational knowledge,Information & Communications,1436,33
Organizational knowledge,Financial Services,519,30
Organizational knowledge,Business Services,7348,33
Organizational knowledge,Public admin.,500,45
Organizational knowledge,Education,1467,37
Organizational knowledge,Health & Social Work,3884,37
Organizational knowledge,Arts & Other Services,2141,34
COMPLEX ANALYTICAL SKILLS,Primary Sector & Utilities,1598,50
COMPLEX ANALYTICAL SKILLS,Manufacturing,4413,59
COMPLEX ANALYTICAL SKILLS,Construction,4434,58
COMPLEX ANALYTICAL SKILLS,Wholesale & Retail,8446,54
COMPLEX ANALYTICAL SKILLS,Hotels & Restaurants,5476,44
COMPLEX ANALYTICAL SKILLS,Transport & Storage,1747,50
COMPLEX ANALYTICAL SKILLS,Information & Communications,2700,62
COMPLEX ANALYTICAL SKILLS,Financial Services,823,48
COMPLEX ANALYTICAL SKILLS,Business Services,12084,55
COMPLEX ANALYTICAL SKILLS,Public admin.,680,61
COMPLEX ANALYTICAL SKILLS,Education,1771,44
COMPLEX ANALYTICAL SKILLS,Health & Social Work,4972,47
COMPLEX ANALYTICAL SKILLS,Arts & Other Services,2466,39
DIGITAL SKILLS,Primary Sector & Utilities,845,26
DIGITAL SKILLS,Manufacturing,2260,30
DIGITAL SKILLS,Construction,2412,32
DIGITAL SKILLS,Wholesale & Retail,5239,33
DIGITAL SKILLS,Hotels & Restaurants,2418,20
DIGITAL SKILLS,Transport & Storage,942,27
DIGITAL SKILLS,Information & Communications,2891,67
DIGITAL SKILLS,Financial Services,589,34
DIGITAL SKILLS,Business Services,7839,36
DIGITAL SKILLS,Public admin.,372,33
DIGITAL SKILLS,Education,1236,31
DIGITAL SKILLS,Health & Social Work,3474,33
DIGITAL SKILLS,Arts & Other Services,1317,21