Skills hard to obtain from applicants,Sector,Number,Percentage 
Specialist knowledge for role / Role Expertise,Primary Sector & Utilities,2358,74
Specialist knowledge for role / Role Expertise,Manufacturing,5499,74
Specialist knowledge for role / Role Expertise,Construction,5829,77
Specialist knowledge for role / Role Expertise,Wholesale & Retail,9665,61
Specialist knowledge for role / Role Expertise,Hotels & Restaurants,7770,63
Specialist knowledge for role / Role Expertise,Transport & Storage,2260,65
Specialist knowledge for role / Role Expertise,Information & Communications,3200,74
Specialist knowledge for role / Role Expertise,Financial Services,1313,77
Specialist knowledge for role / Role Expertise,Business Services,15745,72
Specialist knowledge for role / Role Expertise,Public admin.,768,69
Specialist knowledge for role / Role Expertise,Education,2750,68
Specialist knowledge for role / Role Expertise,Health & Social Work,6865,65
Specialist knowledge for role / Role Expertise,Arts & Other Services,4102,64
Solving complex problems,Primary Sector & Utilities,1267,40
Solving complex problems,Manufacturing,3929,53
Solving complex problems,Construction,3972,52
Solving complex problems,Wholesale & Retail,7193,46
Solving complex problems,Hotels & Restaurants,4668,38
Solving complex problems,Transport & Storage,1501,43
Solving complex problems,Information & Communications,2501,58
Solving complex problems,Financial Services,654,38
Solving complex problems,Business Services,10377,47
Solving complex problems,Public admin.,617,55
Solving complex problems,Education,1252,31
Solving complex problems,Health & Social Work,4174,39
Solving complex problems,Arts & Other Services,2048,32
Product knowledge expertise ,Primary Sector & Utilities,1136,36
Product knowledge expertise ,Manufacturing,3613,48
Product knowledge expertise ,Construction,3675,48
Product knowledge expertise ,Wholesale & Retail,7473,48
Product knowledge expertise ,Hotels & Restaurants,5810,47
Product knowledge expertise ,Transport & Storage,1165,33
Product knowledge expertise ,Information & Communications,2150,50
Product knowledge expertise ,Financial Services,1049,61
Product knowledge expertise ,Business Services,9508,43
Product knowledge expertise ,Public admin.,378,34
Product knowledge expertise ,Education,1295,32
Product knowledge expertise ,Health & Social Work,3838,36
Product knowledge expertise ,Arts & Other Services,2719,43
Organizational knowledge,Primary Sector & Utilities,1106,35
Organizational knowledge,Manufacturing,2118,28
Organizational knowledge,Construction,2502,33
Organizational knowledge,Wholesale & Retail,5684,36
Organizational knowledge,Hotels & Restaurants,5148,42
Organizational knowledge,Transport & Storage,1197,34
Organizational knowledge,Information & Communications,1436,33
Organizational knowledge,Financial Services,519,30
Organizational knowledge,Business Services,7348,33
Organizational knowledge,Public admin.,500,45
Organizational knowledge,Education,1467,37
Organizational knowledge,Health & Social Work,3884,37
Organizational knowledge,Arts & Other Services,2141,34
Complex analytical skills,Primary Sector & Utilities,1598,50
Complex analytical skills,Manufacturing,4413,59
Complex analytical skills,Construction,4434,58
Complex analytical skills,Wholesale & Retail,8446,54
Complex analytical skills,Hotels & Restaurants,5476,44
Complex analytical skills,Transport & Storage,1747,50
Complex analytical skills,Information & Communications,2700,62
Complex analytical skills,Financial Services,823,48
Complex analytical skills,Business Services,12084,55
Complex analytical skills,Public admin.,680,61
Complex analytical skills,Education,1771,44
Complex analytical skills,Health & Social Work,4972,47
Complex analytical skills,Arts & Other Services,2466,39
Digital skills,Primary Sector & Utilities,845,26
Digital skills,Manufacturing,2260,30
Digital skills,Construction,2412,32
Digital skills,Wholesale & Retail,5239,33
Digital skills,Hotels & Restaurants,2418,20
Digital skills,Transport & Storage,942,27
Digital skills,Information & Communications,2891,67
Digital skills,Financial Services,589,34
Digital skills,Business Services,7839,36
Digital skills,Public admin.,372,33
Digital skills,Education,1236,31
Digital skills,Health & Social Work,3474,33
Digital skills,Arts & Other Services,1317,21
Understanding Documentation ,Primary Sector & Utilities,554,17
Understanding Documentation ,Manufacturing,2387,32
Understanding Documentation ,Construction,2805,37
Understanding Documentation ,Wholesale & Retail,5109,32
Understanding Documentation ,Hotels & Restaurants,4719,38
Understanding Documentation ,Transport & Storage,1576,45
Understanding Documentation ,Information & Communications,899,21
Understanding Documentation ,Financial Services,427,25
Understanding Documentation ,Business Services,6064,28
Understanding Documentation ,Public admin.,314,28
Understanding Documentation ,Education,1123,28
Understanding Documentation ,Health & Social Work,3233,31
Understanding Documentation ,Arts & Other Services,1653,26
Advanced Statistical  Skills,Primary Sector & Utilities,719,23
Advanced Statistical  Skills,Manufacturing,2428,32
Advanced Statistical  Skills,Construction,2481,33
Advanced Statistical  Skills,Wholesale & Retail,4741,30
Advanced Statistical  Skills,Hotels & Restaurants,2728,22
Advanced Statistical  Skills,Transport & Storage,1024,29
Advanced Statistical  Skills,Information & Communications,1484,34
Advanced Statistical  Skills,Financial Services,441,26
Advanced Statistical  Skills,Business Services,7219,33
Advanced Statistical  Skills,Public admin.,323,29
Advanced Statistical  Skills,Education,1141,28
Advanced Statistical  Skills,Health & Social Work,2435,23
Advanced Statistical  Skills,Arts & Other Services,1280,20
Basic numeracy,Primary Sector & Utilities,918,29
Basic numeracy,Manufacturing,2064,28
Basic numeracy,Construction,2000,26
Basic numeracy,Wholesale & Retail,4795,30
Basic numeracy,Hotels & Restaurants,4009,32
Basic numeracy,Transport & Storage,1113,32
Basic numeracy,Information & Communications,673,16
Basic numeracy,Financial Services,301,18
Basic numeracy,Business Services,4514,21
Basic numeracy,Public admin.,198,18
Basic numeracy,Education,862,21
Basic numeracy,Health & Social Work,2727,26
Basic numeracy,Arts & Other Services,1842,29
Technical writing,Primary Sector & Utilities,576,18
Technical writing,Manufacturing,1932,26
Technical writing,Construction,2103,28
Technical writing,Wholesale & Retail,3720,24
Technical writing,Hotels & Restaurants,3588,29
Technical writing,Transport & Storage,1160,33
Technical writing,Information & Communications,961,22
Technical writing,Financial Services,305,18
Technical writing,Business Services,5216,24
Technical writing,Public admin.,378,34
Technical writing,Education,1062,26
Technical writing,Health & Social Work,3534,33
Technical writing,Arts & Other Services,1230,19
Equipment Adaption,Primary Sector & Utilities,670,21
Equipment Adaption,Manufacturing,2628,35
Equipment Adaption,Construction,2561,34
Equipment Adaption,Wholesale & Retail,5094,32
Equipment Adaption,Hotels & Restaurants,3055,25
Equipment Adaption,Transport & Storage,796,23
Equipment Adaption,Information & Communications,832,19
Equipment Adaption,Financial Services,120,7
Equipment Adaption,Business Services,4550,21
Equipment Adaption,Public admin.,272,24
Equipment Adaption,Education,662,16
Equipment Adaption,Health & Social Work,1596,15
Equipment Adaption,Arts & Other Services,1301,20
Manual dexterity,Primary Sector & Utilities,1201,38
Manual dexterity,Manufacturing,2750,37
Manual dexterity,Construction,2753,36
Manual dexterity,Wholesale & Retail,4704,30
Manual dexterity,Hotels & Restaurants,2458,20
Manual dexterity,Transport & Storage,592,17
Manual dexterity,Information & Communications,489,11
Manual dexterity,Financial Services,15,1
Manual dexterity,Business Services,3246,15
Manual dexterity,Public admin.,125,11
Manual dexterity,Education,344,9
Manual dexterity,Health & Social Work,962,9
Manual dexterity,Arts & Other Services,1245,20
Advanced IT skills,Primary Sector & Utilities,483,15
Advanced IT skills,Manufacturing,1584,21
Advanced IT skills,Construction,1775,23
Advanced IT skills,Wholesale & Retail,3015,19
Advanced IT skills,Hotels & Restaurants,1126,9
Advanced IT skills,Transport & Storage,407,12
Advanced IT skills,Information & Communications,2754,63
Advanced IT skills,Financial Services,464,27
Advanced IT skills,Business Services,5672,26
Advanced IT skills,Public admin.,298,27
Advanced IT skills,Education,736,18
Advanced IT skills,Health & Social Work,1873,18
Advanced IT skills,Arts & Other Services,590,9
Operational Skills,Primary Sector & Utilities,1533,48
Operational Skills,Manufacturing,3820,51
Operational Skills,Construction,3952,52
Operational Skills,Wholesale & Retail,8674,55
Operational Skills,Hotels & Restaurants,6910,56
Operational Skills,Transport & Storage,1498,43
Operational Skills,Information & Communications,2312,53
Operational Skills,Financial Services,1072,63
Operational Skills,Business Services,11061,50
Operational Skills,Public admin.,555,50
Operational Skills,Education,1820,45
Operational Skills,Health & Social Work,4855,46
Operational Skills,Arts & Other Services,3159,50
